0.0 	 0.0 
0.05 	 0.0 
0.1 	 0.0 
0.15 	 0.0 
0.2 	 0.0 
0.25 	 0.0 
0.3 	 0.0 
0.35 	 0.001 
0.4 	 0.001 
0.45 	 0.002 
0.5 	 0.001 
0.55 	 0.001 
0.6 	 0.001 
0.65 	 0.002 
0.7 	 0.003 
0.75 	 0.004 
0.8 	 0.004 
0.85 	 0.006 
0.9 	 0.007 
0.95 	 0.015 
1.0 	 0.01 
1.05 	 0.012 
1.1 	 0.011 
1.15 	 0.013 
1.2 	 0.013 
1.25 	 0.015 
1.3 	 0.018 
1.35 	 0.015 
1.4 	 0.013 
1.45 	 0.016 
1.5 	 0.017 
1.55 	 0.019 
1.6 	 0.021 
1.65 	 0.02 
1.7 	 0.029 
1.75 	 0.025 
1.8 	 0.033 
1.85 	 0.033 
1.9 	 0.03 
1.95 	 0.019 
2.0 	 0.02 
2.05 	 0.026 
2.1 	 0.035 
2.15 	 0.033 
2.2 	 0.031 
2.25 	 0.028 
2.3 	 0.025 
2.35 	 0.024 
2.4 	 0.023 
2.45 	 0.03 
2.5 	 0.036 
2.55 	 0.036 
2.6 	 0.033 
2.65 	 0.036 
2.7 	 0.039 
2.75 	 0.034 
2.8 	 0.043 
2.85 	 0.037 
2.9 	 0.044 
2.95 	 0.045 
3.0 	 0.044 
3.05 	 0.04 
3.1 	 0.037 
3.15 	 0.038 
3.2 	 0.044 
3.25 	 0.035 
3.3 	 0.041 
3.35 	 0.043 
3.4 	 0.045 
3.45 	 0.052 
3.5 	 0.054 
3.55 	 0.053 
3.6 	 0.051 
3.65 	 0.044 
3.7 	 0.047 
3.75 	 0.049 
3.8 	 0.05 
3.85 	 0.049 
3.9 	 0.058 
3.95 	 0.05 
4.0 	 0.049 
4.05 	 0.061 
4.1 	 0.05 
4.15 	 0.045 
4.2 	 0.051 
4.25 	 0.054 
4.3 	 0.056 
4.35 	 0.05 
4.4 	 0.052 
4.45 	 0.051 
4.5 	 0.047 
4.55 	 0.052 
4.6 	 0.062 
4.65 	 0.06 
4.7 	 0.064 
4.75 	 0.06 
4.8 	 0.056 
4.85 	 0.046 
4.9 	 0.045 
4.95 	 0.042 
5.0 	 0.045 
5.05 	 0.059 
5.1 	 0.057 
5.15 	 0.065 
5.2 	 0.051 
5.25 	 0.044 
5.3 	 0.05 
5.35 	 0.054 
5.4 	 0.051 
5.45 	 0.053 
5.5 	 0.053 
5.55 	 0.06 
5.6 	 0.047 
5.65 	 0.048 
5.7 	 0.057 
5.75 	 0.058 
5.8 	 0.047 
5.85 	 0.049 
5.9 	 0.06 
5.95 	 0.069 
6.0 	 0.068 
6.05 	 0.065 
6.1 	 0.062 
6.15 	 0.059 
6.2 	 0.066 
6.25 	 0.064 
6.3 	 0.067 
6.35 	 0.066 
6.4 	 0.061 
6.45 	 0.065 
6.5 	 0.057 
6.55 	 0.06 
6.6 	 0.058 
6.65 	 0.047 
6.7 	 0.054 
6.75 	 0.051 
6.8 	 0.054 
6.85 	 0.058 
6.9 	 0.056 
6.95 	 0.061 
7.0 	 0.061 
7.05 	 0.061 
7.1 	 0.068 
7.15 	 0.073 
7.2 	 0.075 
7.25 	 0.066 
7.3 	 0.057 
7.35 	 0.063 
7.4 	 0.063 
7.45 	 0.068 
7.5 	 0.071 
7.55 	 0.066 
7.6 	 0.07 
7.65 	 0.06 
7.7 	 0.058 
7.75 	 0.051 
7.8 	 0.058 
7.85 	 0.064 
7.9 	 0.075 
7.95 	 0.067 
8.0 	 0.079 
8.05 	 0.076 
8.1 	 0.071 
8.15 	 0.067 
8.2 	 0.064 
8.25 	 0.071 
8.3 	 0.07 
8.35 	 0.06 
8.4 	 0.059 
8.45 	 0.062 
8.5 	 0.074 
8.55 	 0.073 
8.6 	 0.069 
8.65 	 0.072 
8.7 	 0.064 
8.75 	 0.062 
8.8 	 0.067 
8.85 	 0.068 
8.9 	 0.064 
8.95 	 0.062 
9.0 	 0.059 
9.05 	 0.058 
9.1 	 0.066 
9.15 	 0.056 
9.2 	 0.059 
9.25 	 0.061 
9.3 	 0.072 
9.35 	 0.066 
9.4 	 0.063 
9.45 	 0.066 
9.5 	 0.066 
9.55 	 0.075 
